Items,Index,BIO,OR., PRIX ,EMBALLAGE SECONDAIRE,EMBALLAGE PRIMAIRE,UNITÉS X EMB.,col. libre,Preparé pour la liste du collectif,Categorie,Nom,Brand,Brand 2,Date,Commentaires
ABRICOTS JAUNE REMBRANDT 3 LYR 120 WA,Y0001,,EU,"59,00 $",BOITE 120,UN,120,,OUI,Canadawide,,,,22 juill. 2025,
AIL (BIO) BLANC PERI & SONS 30LBS EU,Y0002,BIO,EU,"67,75 $",30LBS,LBS,30,,OUI,Canadawide,,,,20 janv. 2026,
AIL (BIO) BLANC PERI & SONS 30LBS EU - PORTIONS DE 200GRAMMES,Y0003,BIO,EU,"0,99 $",30LBS / 200 GR,200GR,1,,OUI,Canadawide,,,,20 janv. 2026,
AIL (BIO) CESAR 12X85GR ES,Y0004,BIO,ES,"24,50 $",12X85GR,UN,12,,OUI,Canadawide,,,,18 nov. 2025,
AIL BLANC BOITE BRUN 30LBS EU,Y0005, ,EU,"65,00 $",BOITE/30LBS,LBS,30,,OUI,Canadawide,,,,15 oct. 2024,
AIL FLEUR (BIO) CHAREJO 10LBS QC,Y0006,BIO,QC,"22,50 $",SAC 10LBS,LBS,10,,OUI,Canadawide,,,,25 juin 2025,
AIL FRAIS AVEC TIGE 4X12 QC,Y0007, ,QC,"24,00 $",12TX4TIGES,UN,48,,OUI,Canadawide,,,,8 juill. 2025,
AIL MAUVE S.COLOSSAL GABY 30LBS MX,Y0009,,MX,"140,00 $",30LBS,275GR,49,,OUI,Canadawide,,,,15 juill. 2025,
AIL MAUVE S.COLOSSAL GABY 30LBS MX DIVISÉ EN 275GRAMMES,Y0010,,MX,"2,86 $",275GR,275GR,1,,OUI,Canadawide,,,,15 juill. 2025,
AIL PARS LBS EU,Y0013,,AR,"6,00 $",PAR LBS,LBS,1,,OUI,Canadawide,,,,17 mai 2024,
AJOUTS - VOIR COMMENTAIRE,Y0014,BIO,CR,"21,50 $",BOITE,UN,8,,OUI,Canadawide,,,,10 déc. 2024,
ANANAS (BIO) DOLE 8 CR,Y0015,,CR,"39,50 $",BOITE 6,UN,6,,OUI,Canadawide,,,,11 février 2025,
ANANAS DELMONTE HONEY GLOW 6 CR,Y0016,,CR,"31,50 $",BOITE 8,UN,8,,OUI,Canadawide,,,,11 février 2025,
ANANAS DELMONTE HONEY GLOW 8 CR,Y0017,,CR,"24,00 $",BOITE 8,UN,8,,OUI,Canadawide,,,,27 mai 2025,
ANANAS DOLE 6 CR,Y0018,,CR,"28,50 $",BOITE 7,UN,7,,OUI,Canadawide,,,,11 février 2025,
ANANAS GOLDEN SELECTION DOLE 8 CR,Y0021,,,"  30,50  $ ",,,,,OUI,Canadawide,,,,20 avr. 2025,
ANGLAIS SUNSET LG ON CONCOMBRE,Y0022,,CA,"52,50 $",BOITE/24,UN,24,,OUI,Canadawide,,,,10 déc. 2024,
ANIS (FENOUIL) ANDYBOY 24 CA ,Y0023,,CA,"52,50 $",BOITE/30,UN,30,,OUI,Canadawide,,,,10 déc. 2024,
ANIS (FENOUIL) ANDYBOY 30 CA ,Y0024,,CA,"24,50 $",BOITE/24,UN,24,,OUI,Canadawide,,,,15 oct. 2024,
ANIS (FENOUIL) OCEAN MIST 24 CA SANS FEUILLES,Y0025,,CA,"28,50 $",BOITE/24,UN,24,,OUI,Canadawide,,,,18 oct. 2024,
ANIS LAKESIDE 12 CA,Y0027,,QC,"35,75 $",BOITE/24,UN,24,,OUI,Canadawide,,,,8 oct. 2024,
ARTICHAUT LAKESIDE 18 CA,Y0037,,FL,"18,31 $",BOITE6x4oz,4oz,6,,OUI,Canadawide,,,,25 avr. 2024,
ARUGULA B&W CELLO 6X4oz FL,Y0038,,CA,"14,00 $",BOITE,LBS,2,,OUI,Canadawide,,,,10 janvier 2025,
ARUGULA BEBE CLASSIC 2LBS CA,Y0039,,CA,"14,00 $",2LBS,LBS,2,,OUI,Canadawide,,,,6 janv. 2026,
ARUGULA CLASSIC 2X1.5LBS CA,Y0040,,FL,"25,00 $","BOITE2x1,5lbs",LBS,3,,OUI,Canadawide,,,,12 avr. 2024,
ARUGULA SALAD FARM 2LBS EU,Y0042,,EU,"14,00 $",2LBS,LBS,2,,OUI,Canadawide,,,,18 nov. 2025,
ASPERGE (BIO) VERT NATURALLY ORG LG 5KG MX,Y0047,,MX,"65,75 $",28LBS/28X1LBS,1LBS,28,,OUI,Canadawide,,,,4 mars 2025,
ASPERGE VERT ALTAR STD 28LBS MX,Y0048,,MX,"69,50 $",28 1LB PACKS,UN,28,,OUI,Canadawide,,,,1 avr. 2025,
ASPERGE VERT ALTAR STD 5KG MX,Y0049,,QC,"44,75 $",20LBS - 18UN,1LBS,18,,OUI,Canadawide,,,,21 juin 2024,
ASPERGE VERT FINE 20LBS 18 PACKS,Y0050,,QC,"49,00 $",20LBS - 20UN,1LBS,20,,OUI,Canadawide,,,,7 juin 2024,
ASPERGE VERT PETIT (FIN) 20LBS QC,Y0051, ,QC,"45,50 $",20LBS/20UN,UN,20,,OUI,Canadawide,,,,25 juin 2025,
ASPERGE VERT STD 20LBS QC,Y0052, ,QC,"65,00 $",20LBS/20UN,UN,20,,OUI,Canadawide,,,,10 juin 2025,
ASPERGE VERT STD 28LBS QC,Y0053,,QC,"87,50 $",28 1LB PACKS,UN,28,,OUI,Canadawide,,,,11 juin 2025,
AUBERGINE INDIENNE M. PRINCIPAL 5KG QC,Y0061,,QC,"12,00 $",5KG,KG,5,,OUI,Canadawide,,,,2 septembre 2025,
AUBERGINE ITALIEN BTE. BRUN 5KG ON,Y0067, ,ON,"16,00 $",BOITE,LBS,11,,OUI,Canadawide,,,,8 juill. 2025,
Aubergine regulier Fresh Farms 24 MX,Y0068,,MX,"30,50 $",BOITE/24,UN,24,,OUI,Canadawide,Aubergine,GREENPOINT,REGULAR,18 févr. 2024,
AUBERGINE REGULIER IDEAL HARBEST 24 MX,Y0069, ,MX,"24,50 $",BOITE,UN,24,,OUI,Canadawide,,,,25 avr. 2025,
